table_name,row_count
ods__fido.ln_interest_rates,0
ods__fido.ln_loan_class_quality,251126
ods__fido.ln_loan_guar,125178
ods__fido.ln_loan_guar_desc_dp,3
ods__fido.ln_loan_guar_desc_g,119
ods__fido.ln_loan_guar_desc_m,160
ods__fido.ln_loan_guar_desc_sp,84
ods__fido.ln_percent_rate,125457
ods__fido.ln_s_perc_rate_type,5
ods__fido.ln_v_credit_guarant,37
ods__fido.ln_v_credit_source,40
ods__fido.ln_v_credit_type,31
ods__fido.ln_v_purpose_cipher,319
ods__fido.ref_type_client,57
ods__fido.rep_spr_depon,111
ods__fido.rep_spr_depon_desc,109
ods__fido.saldo_y,89491
ods__fido.sl_emp_salarys,832
ods__fido.sl_h_calcs,100080
ods__fido.transacts,18
ods__fido.v_bank,3359
ods__fido.v_coa,1663
ods__fido.v_currency,213
ods__fido.v_region,14
ods__ktc.cash_unit_statuses,12
ods__ktc.cash_unit_types,21
ods__ktc.clients,56
ods__ktc.component_list,49
ods__ktc.currencies,8
ods__ktc.denominations,68
ods__ktc.historical_cash_unit_status_p,287863
ods__ktc.overall_availability_p,158855
ods__ktc.overall_unavailable_reasons_p,12258
ods__ktc.property_list,482
ods__ktc.stx_field_lookups,72
ods__ktc.transaction_data_p,60487
ods__ktc.unavailable_reasons,7
ods__odata_1c.accounting_register,53232
ods__odata_1c.accounts,896
ods__odata_1c.balance_and_turnovers,6863
ods__odata_1c.calculation_types,39
ods__odata_1c.cfo,8
ods__odata_1c.construction_object,89
ods__odata_1c.counterparties,461
ods__odata_1c.currencies,4
ods__odata_1c.departments,140
ods__odata_1c.employee_personal_data,938
ods__odata_1c.employee_register,946
ods__odata_1c.employees,943
ods__odata_1c.employees_hist,1837
ods__odata_1c.expenses,8289
ods__odata_1c.expenses_dict,183
ods__odata_1c.extend_employee_regions,19
ods__odata_1c.extend_employee_regions_catalog,15
ods__odata_1c.extend_employee_titles_catalog,6
ods__odata_1c.intangible_asset,15
ods__odata_1c.invoice,1313
ods__odata_1c.other_incomes_and_spending,86
ods__odata_1c.positions,275
ods__odata_1c.receipt_goods_services,1834
ods__odata_1c.salary,10457
ods__odata_1c.salary_journal,862
ods__odata_1c.salary_payrolls,10666
ods__odata_1c.salary_transfers,385
ods__odata_1c.sick_leaves,148
ods__odata_1c.vacations,645
ods__tranzaxis.avo_account_plan_item,184
ods__tranzaxis.avo_card_product,6
ods__tranzaxis.avo_contract_type,28
ods__tranzaxis.avo_creditline_contract,933521
ods__tranzaxis.avo_creditline_min_pay,710274
ods__tranzaxis.avo_mcc,1058
ods__tranzaxis.avo_network,2
ods__tranzaxis.avo_oper_day,512
ods__tranzaxis.avo_terminal,59
ods__tranzaxis.avo_token_life_phase,7
ods__tranzaxis.avo_token_product,6
ods__wings.ab_clients,34994
ods__wings.ab_test,9
ods__wings.batch,389
ods__wings.card_history,167509
ods__wings.guides,114
ods__wings.guides_name,6
ods__wings.im_predictions,10806
ods__wings.model_resolve,108084
ods__wings.offers,225782
ods__wings.r_par,1350
ods__wings.r_process,930
ods__wings.r_process_object,2424
ods__wings.r_process_object_next,1306
ods__wings.rwa,79178
ods__wings.tasks_req,179999
ods__wings.temp_users_checked,50042
ods__wings.users_expired_consents,98342
